id,rész típus,kerület1,kerület2,alias1,alias2,városrész1,városrész2,városrész3,városrész4,városrész5,városrész6,városrész7,városrész8,városrész9,városrész10,városrész11,városrész12,városrész13,városrész14,városrész15,városrész16,városrész17,városrész18,városrész19,városrész20,városrész21,városrész22,városrész23,városrész24,városrész25,városrész26,városrész27,városrész28,városrész29,városrész30,városrész31,városrész32,városrész33,létesítmény1,létesítmény1
54,Alsóbogát,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Alsódobsza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Alsógagy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Alsómocsolád,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Alsónána,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Alsónémedi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Alsónemesapáti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Alsónyék,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Alsóörs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Alsópáhok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Alsópetény,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Alsórajk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Alsóregmec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Alsószenterzsébet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Alsószentiván,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Alsószentmárton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Alsószölnök,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Alsószuha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Alsótelekes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Alsótold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Alsóújlak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Ambrózfalva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Amerikai Egyesült Államok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Anarcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Andocs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Andornaktálya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Andrásfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Annavölgy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Antarktisz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Antigua és Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Apácatorna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Apagy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Aparhant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Apátfalva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Apátistvánfalva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Apátvarasd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Apc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Áporka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Apostag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Arab Emírségek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Aranyosapáti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Aranyosgadány,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Argentína,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Arló,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Arnót,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Ároktő,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Árpádhalom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Árpás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Ártánd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Ásotthalom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Ásványráró,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Aszaló,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Ászár,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Aszód,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Aszófő,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Áta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Átány,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Atkár,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Attala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Ausztrália,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Ausztrália és Óceánia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Ausztria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Azerbajdzsán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Ázsia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Babarc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Babarcszőlős,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Babócsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Bábolna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Bábonymegyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Babosdöbréte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Babót,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Bács-Kiskun megye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Bácsalmás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Bácsbokod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Bácsborsód,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Bácsszentgyörgy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Bácsszőlős,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Badacsonytomaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Badacsonytördemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Bagamér,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Baglad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Bagod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Bágyogszovát,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Bahama-szigetek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Bahrein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Baj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Baja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Bajánsenye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Bajna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Bajót,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Bak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Bakháza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Bakóca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Bakonszeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Bakonya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Bakonybánk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Bakonybél,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Bakonycsernye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Bakonygyirót,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Bakonyjákó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Bakonykoppány,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Bakonykúti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Bakonynána,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Bakonyoszlop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Bakonypéterd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Bakonypölöske,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Bakonyság,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Bakonysárkány,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Bakonyszentiván,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Bakonyszentkirály,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Bakonyszentlászló,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Bakonyszombathely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Bakonyszücs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Bakonytamási,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Baks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Baksa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Baktakék,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Baktalórántháza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Baktüttös,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Balajt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Balassagyarmat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Balástya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Balaton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Balatonakali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Balatonalmádi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Balatonberény,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Balatonboglár,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Balatoncsicsó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Balatonederics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Balatonendréd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Balatonfenyves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Balatonfőkajár,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Balatonföldvár,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Balatonfüred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Balatonfűzfő,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Balatongyörök,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Balatonhenye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Balatonkenese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Balatonkeresztúr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Balatonlelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Balatonmagyaród,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Balatonmáriafürdő,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Balatonőszöd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Balatonrendes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Balatonszabadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Balatonszárszó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Balatonszemes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Balatonszentgyörgy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Balatonszepezd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Balatonszőlős,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Balatonújlak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Balatonvilágos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Balinka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Balkány,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Ballószög,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Balmazújváros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Balogunyom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Balotaszállás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Balsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Bálványos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Bana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Bánd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Bánfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Banglades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Bánhorváti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Bánk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Bánokszentgyörgy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Bánréve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Bár,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Barabás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Baracs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Baracska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Báránd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Baranya megye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Baranyahídvég,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Baranyajenő,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Baranyaszentgyörgy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Barbacs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Barcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Bárdudvarnok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Barlahida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Bárna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Barnag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Bársonyos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Basal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Baskó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Báta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Bátaapáti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Bátaszék,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Baté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Bátmonostor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Bátonyterenye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Bátor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Bátorliget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Battonya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Bátya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Batyk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Bázakerettye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Bazsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Béb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Becsehely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Becske,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Becskeháza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Becsvölgye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Bedegkér,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Bedő,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Bejcgyertyános,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Békás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Bekecs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Békés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Békés megye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Békéscsaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Békéssámson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Békésszentandrás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Bekölce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Bélapátfalva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Bélavár,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Belecska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Beleg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Belezna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Bélmegyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Beloiannisz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Belsősárd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Belvárdgyula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
